ds,it,ndpso_time,fairspan_time
108,6,2273,0
108,7,2144,0
108,8,2256,0
108,9,2234,0
109,0,3113,0
109,1,3115,0
109,2,3106,0
109,3,3135,0
109,4,3114,0
109,5,3121,0
109,6,3133,0
109,7,3094,0
109,8,3115,0
109,9,3121,0
110,0,3138,1
110,1,3212,1
110,2,3137,1
110,3,3129,1
110,4,3113,1
110,5,3138,1
110,6,3133,1
110,7,3146,1
110,8,3122,1
110,9,3140,1
111,0,3100,0
111,1,3094,0
111,2,3088,0
111,3,3096,0
111,4,3087,0
111,5,3083,0
111,6,3102,0
111,7,3091,0
111,8,3088,0
111,9,3098,0
112,0,3121,1
112,1,3115,1
112,2,3128,1
112,3,3122,1
112,4,3114,1
112,5,3247,1
112,6,3212,1
112,7,3126,1
112,8,3119,1
112,9,3154,1
113,0,3103,0
113,1,3076,0
113,2,3071,0
113,3,3079,0
113,4,3065,0
113,5,3102,0
113,6,3082,0
113,7,3076,0
113,8,3114,0
113,9,3112,0
114,0,3153,0
114,1,3188,0
114,2,3153,0
114,3,3359,0
114,4,3177,0
114,5,3181,0
114,6,3216,0
114,7,3127,0
114,8,3130,0
114,9,3123,0
115,0,3136,0
115,1,3164,0
115,2,3128,0
115,3,3122,0
115,4,3136,0
115,5,3138,0
115,6,3192,0
115,7,3148,0
115,8,3113,0
115,9,3133,0
116,0,3083,0
116,1,3089,0
116,2,3091,0
116,3,3202,0
116,4,3127,0
116,5,3117,0
116,6,3095,0
116,7,3096,0
116,8,3093,0
116,9,3092,0
117,0,3173,0
117,1,3112,0
117,2,3100,0
117,3,3106,0
117,4,3136,0
117,5,3239,0
117,6,3100,0
117,7,3102,0
117,8,3131,0
117,9,3117,0
118,0,3605,1
118,1,3675,1
118,2,3581,1
118,3,3665,1
118,4,3715,1
118,5,3602,1
118,6,3681,1
118,7,3590,1
118,8,3596,1
118,9,3737,1
119,0,3667,0
119,1,3557,0
119,2,3570,0
119,3,3570,0
119,4,3558,0
119,5,3572,0
119,6,3549,0
119,7,3670,0
119,8,3572,0
119,9,3527,0
120,0,3648,0
120,1,3520,0
120,2,3628,0
120,3,3531,0
120,4,3606,0
120,5,3620,0
120,6,3584,0
120,7,3600,0
120,8,3572,0
120,9,3552,0
121,0,3530,0
121,1,3521,0
121,2,3494,0
121,3,3504,0
121,4,3432,0
121,5,3556,0
121,6,3543,0
121,7,3518,0
121,8,3518,0
121,9,3578,0
122,0,3578,0
122,1,3531,0
122,2,3562,0
122,3,3521,0
122,4,3519,0
122,5,3511,0
122,6,3526,0
122,7,3541,0
122,8,3507,0
122,9,3536,0
123,0,3586,0
123,1,3526,0
123,2,3554,0
123,3,3558,0
123,4,3538,0
123,5,3525,0
