ds,it,ndpso_span,fairsh_span
9,0,0.04878048780487805,0.04878048780487805
9,1,0.04878048780487805,0.04878048780487805
9,2,0.04878048780487805,0.04878048780487805
9,3,0.04878048780487805,0.04878048780487805
9,4,0.04878048780487805,0.04878048780487805
9,5,0.04878048780487805,0.04878048780487805
9,6,0.04878048780487805,0.04878048780487805
9,7,0.04878048780487805,0.04878048780487805
9,8,0.04878048780487805,0.04878048780487805
9,9,0.04878048780487805,0.04878048780487805
10,0,0.3695652173913043,0.3695652173913043
10,1,0.3695652173913043,0.3695652173913043
10,2,0.3695652173913043,0.3695652173913043
10,3,0.3695652173913043,0.3695652173913043
10,4,0.3695652173913043,0.3695652173913043
10,5,0.3695652173913043,0.3695652173913043
10,6,0.3695652173913043,0.3695652173913043
10,7,0.3695652173913043,0.3695652173913043
10,8,0.3695652173913043,0.3695652173913043
10,9,0.3695652173913043,0.3695652173913043
11,0,0.03018867924528302,0.03018867924528302
11,1,0.03018867924528302,0.03018867924528302
11,2,0.03018867924528302,0.03018867924528302
11,3,0.03018867924528302,0.03018867924528302
11,4,0.03018867924528302,0.03018867924528302
11,5,0.03018867924528302,0.03018867924528302
11,6,0.03018867924528302,0.03018867924528302
11,7,0.03018867924528302,0.03018867924528302
11,8,0.03018867924528302,0.03018867924528302
11,9,0.03018867924528302,0.03018867924528302
12,0,0.04488778054862843,0.04285714285714286
12,1,0.04285714285714286,0.04285714285714286
12,2,0.04285714285714286,0.04285714285714286
12,3,0.04285714285714286,0.04285714285714286
12,4,0.04285714285714286,0.04285714285714286
12,5,0.04285714285714286,0.04285714285714286
12,6,0.043689320388349516,0.04285714285714286
12,7,0.043689320388349516,0.04285714285714286
12,8,0.04285714285714286,0.04285714285714286
12,9,0.043689320388349516,0.04285714285714286
13,0,0.6691729323308271,0.6592592592592592
13,1,0.6592592592592592,0.6592592592592592
13,2,0.6592592592592592,0.6592592592592592
13,3,0.6592592592592592,0.6592592592592592
13,4,0.6592592592592592,0.6592592592592592
13,5,0.6592592592592592,0.6592592592592592
13,6,0.6592592592592592,0.6592592592592592
13,7,0.6592592592592592,0.6592592592592592
13,8,0.6846153846153846,0.6592592592592592
13,9,0.6592592592592592,0.6592592592592592
14,0,0.46311475409836067,0.46311475409836067
14,1,0.49137931034482757,0.46311475409836067
14,2,0.4672131147540984,0.46311475409836067
14,3,0.4672131147540984,0.46311475409836067
14,4,0.4672131147540984,0.46311475409836067
14,5,0.475,0.46311475409836067
14,6,0.475,0.46311475409836067
14,7,0.46311475409836067,0.46311475409836067
14,8,0.4892703862660944,0.46311475409836067
14,9,0.4672131147540984,0.46311475409836067
15,0,0.3365617433414044,0.3365617433414044
15,1,0.3365617433414044,0.3365617433414044
15,2,0.3365617433414044,0.3365617433414044
15,3,0.3365617433414044,0.3365617433414044
15,4,0.3648293963254593,0.3365617433414044
15,5,0.3365617433414044,0.3365617433414044
15,6,0.3365617433414044,0.3365617433414044
15,7,0.3365617433414044,0.3365617433414044
15,8,0.3483709273182957,0.3365617433414044
15,9,0.3365617433414044,0.3365617433414044
16,0,1.648,1.648
16,1,1.7758620689655173,1.648
16,2,1.6612903225806452,1.648
16,3,1.648,1.648
16,4,1.6612903225806452,1.648
16,5,1.648,1.648
16,6,1.6612903225806452,1.648
16,7,1.6612903225806452,1.648
16,8,1.648,1.648
16,9,1.648,1.648
17,0,0.7463768115942029,0.7463768115942029
17,1,0.7463768115942029,0.7463768115942029
17,2,0.7463768115942029,0.7463768115942029
17,3,0.7463768115942029,0.7463768115942029
17,4,0.7463768115942029,0.7463768115942029
17,5,0.7463768115942029,0.7463768115942029
17,6,0.7463768115942029,0.7463768115942029
17,7,0.7463768115942029,0.7463768115942029
17,8,0.7463768115942029,0.7463768115942029
17,9,0.7463768115942029,0.7463768115942029
18,0,0.25476190476190474,0.25476190476190474
18,1,0.25476190476190474,0.25476190476190474
18,2,0.25476190476190474,0.25476190476190474
18,3,0.25476190476190474,0.25476190476190474
18,4,0.25476190476190474,0.25476190476190474
18,5,0.25476190476190474,0.25476190476190474
18,6,0.25476190476190474,0.25476190476190474
