#id,fairspan_max_span,ndpso_avg_max_span,ndpso_min_max_span,ndpso_max_max_span,fairspan_total_time,ndpso_avg_pre_time,ndpso_min_pre_time,ndpso_max_pre_time,ndpso_avg_post_time,ndpso_min_post_time,ndpso_max_post_time,ndpso_avg_total_time,ndpso_amin_total_time,ndpso_max_total_time
6905,0.1689189189,0.1796722881,0.1689189189,0.1945525292,0,838.4,821,858,0,0,0,838.4,821,858
6906,0.1315789474,0.1350877193,0.1315789474,0.1432748538,0,840,819,867,0,0,0,840,819,867
6907,0.3806451613,0.3847235023,0.3806451613,0.4214285714,0,846.1,818,867,0,0,0,846.1,818,867
6908,0.4120171674,0.4229079668,0.4120171674,0.4405286344,0,764.3,754,783,0,0,0,764.3,754,783
6909,0.2713347921,0.2660944206,0.2660944206,0.2660944206,0,879.3,844,905,0,0,0,879.3,844,905
6910,1.1944444444,1.1025641026,1.1025641026,1.1025641026,0,845.5,825,868,0,0,0,845.5,825,868
6911,0.5096153846,0.5255691095,0.5096153846,0.5588235294,0,865.2,832,889,0,0,0,865.2,832,889
6912,0.2424892704,0.2360515021,0.2360515021,0.2360515021,0,852.1,815,874,0,0,0,852.1,815,874
6913,13.5957446809,13.5833333333,13.5833333333,13.5833333333,0,9905.8,9248,15011,0,0,0,9905.8,9248,15011
6914,4.7637795276,4.7637795276,4.7637795276,4.7637795276,0,9365.6,9279,9543,0,0,0,9365.6,9279,9543
6915,3.1739130435,3.1732673267,3.1732673267,3.1732673267,0,9237.8,9167,9332,0,0,0,9237.8,9167,9332
