ds_id,it_id,mypso_pre_time,mypso_post_time,mypso_total_time,mypso_span,ndpso_total_time,ndpso_span,impr_per
31,1,2233,0,2233,"3.848101265822785 ",638,"1.18348623853211 ",-69.24492998551425
32,0,1374,0,1374,"1.2177121771217712 ",638,"0.5202952029520295 ",-57.27272727272727
32,1,1655,0,1655,"1.2177121771217712 ",638,"0.5202952029520295 ",-57.27272727272727
33,0,1856,1,1857,"0.5621468926553672 ",720,"0.3324538258575198 ",-40.85997268665225
33,1,2604,0,2604,"5.102564102564102 ",671,"0.3324538258575198 ",-93.4845732620888
34,0,1396,0,1396,"2.9358974358974357 ",657,"0.9618320610687023 ",-67.23890796359878
34,1,1352,0,1352,"1.7480916030534353 ",666,"0.9618320610687023 ",-44.97816593886463
35,0,1918,0,1918,"1.536231884057971 ",628,"0.7681159420289855 ",-50
35,1,1388,0,1388,"1.536231884057971 ",658,"0.7681159420289855 ",-50
36,0,1415,0,1415,"0.711217183770883 ",671,"0.3341288782816229 ",-53.02013422818792
36,1,1393,0,1393,"0.711217183770883 ",688,"0.3425925925925926 ",-51.83010191399453
37,0,10026,0,10026,"0.6546762589928058 ",2158,"0.3435114503816794 ",-47.52956966697425
37,1,10635,0,10635,"0.6546762589928058 ",2038,"0.3435114503816794 ",-47.52956966697425
38,0,10120,0,10120,"0.4492753623188405 ",2025,"0.23346303501945526 ",-48.03564704405673
38,1,9769,0,9769,"0.4492753623188405 ",2115,"0.22641509433962265 ",-49.60438222763237
39,0,9765,0,9765,"0.1491442542787286 ",2503,"0.08977556109725686 ",-39.80622214954417
39,1,10377,0,10377,"0.1491442542787286 ",2029,"0.0891089108910891 ",-40.2532056484337
40,0,9959,0,9959,"1.1395348837209303 ",2232,"0.49624060150375937 ",-56.45235537824153
40,1,9232,0,9232,"1.1395348837209303 ",2318,"0.49624060150375937 ",-56.45235537824153
41,0,9412,0,9412,"0.8014981273408239 ",1881,"0.3707865168539326 ",-53.73831775700935
41,1,10567,0,10567,"0.8014981273408239 ",2019,"0.35611510791366907 ",-55.56881597525718
42,0,10448,0,10448,"0.6235011990407674 ",2112,"0.3220338983050847 ",-48.35071707953064
42,1,9225,0,9225,"0.620525059665871 ",1984,"0.31742243436754175 ",-48.84615384615384
43,0,9598,0,9598,"2.88 ",2190,"1.2446043165467626 ",-56.784572342126296
43,1,8935,0,8935,"2.666666666666667 ",2178,"1.2814814814814814 ",-51.94444444444445
44,0,9416,0,9416,"1.404494382022472 ",2127,"0.7184115523465704 ",-48.84909747292419
44,1,9625,0,9625,"1.6025641025641024 ",2004,"0.7184115523465704 ",-55.171119133573995
45,0,10459,0,10459,"0.9047619047619048 ",2204,"0.363855421686747 ",-59.784400760938496
45,1,9178,0,9178,"0.9047619047619048 ",2078,"0.3595238095238095 ",-60.26315789473685
46,0,10743,0,10743,"1.094890510948905 ",2118,"0.47761194029850745 ",-56.37810945273631
46,1,10431,0,10431,"1.094890510948905 ",2133,"0.49612403100775193 ",-54.68733850129199
47,0,10137,0,10137,"0.31541218637992835 ",2532,"0.16129032258064516 ",-48.86363636363637
47,1,10539,1,10540,"0.32 ",2374,"0.16363636363636364 ",-48.86363636363637
48,0,11590,0,11590,"0.2524752475247525 ",2061,"0.11455847255369929 ",-54.625859890495576
48,1,10977,0,10977,"0.32903225806451614 ",2072,"0.1188118811881188 ",-63.8905066977286
49,0,10913,0,10913,"1.1703703703703705 ",2185,"0.45925925925925926 ",-60.75949367088608
49,1,9666,0,9666,"1.1703703703703705 ",2323,"0.45925925925925926 ",-60.75949367088608
50,0,9894,0,9894,"0.9816849816849816 ",2037,"0.5018050541516246 ",-48.883291125599435
50,1,11819,0,11819,"0.9675090252707582 ",2227,"0.5325670498084292 ",-44.954823583233264
51,0,10503,0,10503,"0.5305623471882641 ",1803,"0.21265822784810126 ",-59.91833401388321
51,1,10178,0,10178,"0.5493670886075949 ",1741,"0.20240963855421687 ",-63.15584920326466
52,0,9483,0,9483,"6.000000000000001 ",1866,"1.3669064748201438 ",-77.21822541966428
52,1,9560,0,9560,"3.857142857142857 ",2166,"1.3768115942028984 ",-64.30488459473968
53,0,11376,0,11376,"1.1317829457364341 ",2205,"0.572463768115942 ",-49.41929720071471
53,1,9998,0,9998,"1.403846153846154 ",2091,"0.5851851851851851 ",-58.31557584982243
54,0,10030,0,10030,"0.4925 ",2454,"0.4014423076923077 ",-18.488871534556807
54,1,9590,0,9590,"0.5794117647058823 ",2277,"0.4014423076923077 ",-30.71554080437328
55,0,2558,0,2558,"2.0769230769230766 ",1393,"0.5213675213675214 ",-74.8971193415638
55,1,2872,0,2872,"2.0769230769230766 ",1317,"0.5213675213675214 ",-74.8971193415638
56,0,3124,0,3124,"1.144186046511628 ",1348,"0.3878787878787879 ",-66.10002463661
56,1,2602,0,2602,"1.144186046511628 ",1244,"0.3062200956937799 ",-73.23686155521843
57,0,3671,0,3671,"0.48883374689826303 ",1366,"0.1095890410958904 ",-77.58153118698282
57,1,3773,0,3773,"0.518421052631579 ",1409,"0.10789473684210527 ",-79.18781725888326
58,0,2607,0,2607,"3.8253968253968256 ",1190,"0.9693877551020408 ",-74.65915826911677
58,1,3904,0,3904,"4.342342342342342 ",1275,"1.0360360360360361 ",-76.14107883817427
