dataset_conf_id,ndpso_avg_time,ndpso_avg_map_time,ndpso_avg_span,ndpso_avg_start_conv_iter,ndpso_avg_end_conv_iter,ndpso_avg_time_per_loop,ndpso_avg_min_time_to_conv,sfms_span,sfms_time,span_impr_perc_avg,time_impr_perc_avg,time_impr_perc_min_conv_avg,time_span_90_10,time_span_80_20,time_span_70_30,time_span_60_40,time_span_50_50,time_span_40_60,time_span_30_70,time_span_20_80,time_span_10_90,time_span_min_conv_90_10,time_span_min_conv_80_20,time_span_min_conv_70_30,time_span_min_conv_60_40,time_span_min_conv_50_50,time_span_min_conv_40_60,time_span_min_conv_30_70,time_span_min_conv_20_80,time_span_min_conv_10_90
31,15.3000,0.0000,1.18348623853211,0.0000,100.0000,0.15300000,0.15300000,1.18348623853211,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
32,15.6000,0.0000,0.5202952029520295,0.0000,100.0000,0.15600000,0.15600000,0.5202952029520295,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
33,15.2000,0.0000,0.3324538258575198,0.3000,100.3000,0.15156000,0.19525000,0.3559322033898305,0.0000,-6.596306068601576,100.00000000,0.00000000,89.34036939313984,78.68073878627969,68.02110817941953,57.361477572559366,46.70184696569921,36.042216358839056,25.382585751978898,14.722955145118739,4.063324538258581,-0.6596306068601576,-1.3192612137203152,-1.9788918205804729,-2.6385224274406305,-3.298153034300788,-3.9577836411609457,-4.617414248021103,-5.277044854881261,-5.936675461741419
34,15.7000,0.0000,0.9618320610687021,0.0000,100.0000,0.15700000,0.15700000,0.9618320610687021,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
35,14.6000,0.0000,0.7681159420289855,0.6000,100.6000,0.14515000,0.23006000,0.7851851851851851,0.0000,-2.173913043478268,100.00000000,0.00000000,89.78260869565217,79.56521739130434,69.34782608695652,59.130434782608695,48.91304347826087,38.69565217391304,28.47826086956521,18.260869565217387,8.04347826086956,-0.2173913043478268,-0.4347826086956536,-0.6521739130434804,-0.8695652173913072,-1.086956521739134,-1.3043478260869608,-1.5217391304347874,-1.7391304347826144,-1.956521739130441
36,16.6000,0.0000,0.3383503990556111,1.0000,101.0000,0.16429000,0.33473000,0.37634408602150543,1.0000,-10.09546539379475,93.84866000,-90.00000000,83.45424746062052,73.05983492124105,62.665422381861575,52.2710098424821,41.87659730310262,31.482184763723154,21.087772224343674,10.6933596849642,0.2989471455847248,-82.00954653937947,-74.01909307875896,-66.02863961813843,-58.0381861575179,-50.04773269689738,-42.05727923627685,-34.066825775656326,-26.0763723150358,-18.085918854415276
37,50.2000,0.0000,0.32374100719424453,0.0000,100.0000,0.50200000,0.50200000,0.32374100719424453,1.0000,0,98.00737000,-100.00000000,88.206633,78.405896,68.605159,58.804422,49.003685,39.202948,29.402211,19.601474,9.800737,-90,-80,-70,-60,-50,-40,-30,-20,-10
38,49.8000,0.0000,0.2173913043478261,0.0000,100.0000,0.49800000,0.49800000,0.2173913043478261,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
39,50.1000,0.0000,0.08801955990220048,0.0000,100.0000,0.50100000,0.50100000,0.08801955990220048,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
40,47.4000,0.0000,0.4782608695652174,0.0000,100.0000,0.47400000,0.47400000,0.4782608695652174,1.0000,0,97.88987000,-100.00000000,88.100883,78.311896,68.522909,58.733922,48.944935,39.155948,29.366961,19.577974,9.788987,-90,-80,-70,-60,-50,-40,-30,-20,-10
41,43.6000,0.0000,0.35611510791366907,0.0000,100.0000,0.43600000,0.43600000,0.35611510791366907,1.0000,0,97.70614000,-100.00000000,87.935526,78.164912,68.394298,58.623684,48.85307,39.082456,29.311842,19.541228,9.770614,-90,-80,-70,-60,-50,-40,-30,-20,-10
42,45.4000,0.0000,0.3174224343675417,0.0000,100.0000,0.45400000,0.45400000,0.3174224343675417,1.0000,0,97.79630000,-100.00000000,88.01667,78.23704,68.45741,58.67778,48.89815,39.11852,29.33889,19.55926,9.77963,-90,-80,-70,-60,-50,-40,-30,-20,-10
43,50.5000,0.0000,1.2446043165467626,0.0000,100.0000,0.50500000,0.50500000,1.2446043165467626,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
44,47.0000,0.0000,0.7184115523465703,0.0000,100.0000,0.47000000,0.47000000,0.7184115523465703,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
45,50.1000,0.1000,0.3595238095238095,0.0000,100.0000,0.50100000,0.50100000,0.3595238095238095,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
46,52.7000,0.0000,0.46715328467153283,0.0000,100.0000,0.52700000,0.52700000,0.46715328467153283,1.0000,0,98.10189000,-100.00000000,88.291701,78.481512,68.671323,58.861134,49.050945,39.240756,29.430567,19.620378,9.810189,-90,-80,-70,-60,-50,-40,-30,-20,-10
47,55.6000,0.0000,0.16129032258064518,0.0000,100.0000,0.55600000,0.55600000,0.16129032258064518,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
48,47.6000,0.0000,0.11455847255369929,0.0000,100.0000,0.47600000,0.47600000,0.11455847255369929,1.0000,0,97.89535000,-100.00000000,88.105815,78.31628,68.526745,58.73721,48.947675,39.15814,29.368605,19.57907,9.789535,-90,-80,-70,-60,-50,-40,-30,-20,-10
49,53.7000,0.0000,0.45925925925925914,0.0000,100.0000,0.53700000,0.53700000,0.45925925925925914,1.0000,0,98.13715000,-100.00000000,88.323435,78.50972,68.696005,58.88229,49.068575,39.25486,29.441145,19.62743,9.813715,-90,-80,-70,-60,-50,-40,-30,-20,-10
50,48.1000,0.0000,0.5018050541516246,0.0000,100.0000,0.48100000,0.48100000,0.5018050541516246,1.0000,0,97.92076000,-100.00000000,88.128684,78.336608,68.544532,58.752456,48.96038,39.168304,29.376228,19.584152,9.792076,-90,-80,-70,-60,-50,-40,-30,-20,-10
51,46.5000,0.1000,0.20240963855421684,0.0000,100.0000,0.46500000,0.46500000,0.20240963855421684,1.0000,0,97.84920000,-100.00000000,88.06428,78.27936,68.49444,58.70952,48.9246,39.13968,29.35476,19.56984,9.78492,-90,-80,-70,-60,-50,-40,-30,-20,-10
52,51.7000,0.0000,1.366906474820144,0.0000,100.0000,0.51700000,0.51700000,1.366906474820144,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
53,48.5000,0.0000,0.5724637681159421,0.0000,100.0000,0.48500000,0.48500000,0.5724637681159421,1.0000,0,97.93509000,-100.00000000,88.141581,78.348072,68.554563,58.761054,48.967545,39.174036,29.380527,19.587018,9.793509,-90,-80,-70,-60,-50,-40,-30,-20,-10
54,55.1000,0.0000,0.4016357738646895,0.0000,100.0000,0.55100000,0.55100000,0.40240963855421696,0.0000,-0.19230769230768607,100.00000000,0.00000000,89.98076923076923,79.96153846153847,69.9423076923077,59.92307692307693,49.90384615384616,39.88461538461539,29.86538461538462,19.84615384615385,9.826923076923082,-0.019230769230768607,-0.038461538461537215,-0.05769230769230582,-0.07692307692307443,-0.09615384615384304,-0.11538461538461164,-0.13461538461538025,-0.15384615384614886,-0.17307692307691747
55,30.1000,0.0000,0.5213675213675214,0.0000,100.0000,0.30100000,0.30100000,0.5213675213675214,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
56,29.8000,0.0000,0.30162460046291195,1.4000,101.4000,0.29392000,0.70219000,0.3033175355450237,0.0000,-0.5581395348837236,100.00000000,30.00000000,89.94418604651163,79.88837209302325,69.83255813953488,59.776744186046514,49.72093023255814,39.665116279069764,29.609302325581393,19.55348837209302,9.49767441860465,26.94418604651163,23.888372093023257,20.832558139534882,17.77674418604651,14.720930232558139,11.665116279069766,8.609302325581394,5.553488372093021,2.4976744186046487
57,31.6000,0.0000,0.10617283950617284,0.0000,100.0000,0.31600000,0.31600000,0.10617283950617284,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
58,32.7000,0.0000,0.9126984126984128,0.0000,100.0000,0.32700000,0.32700000,0.9126984126984128,1.0000,0,96.85226000,-100.00000000,87.167034,77.481808,67.796582,58.111356,48.42613,38.740904,29.055678,19.370452,9.685226,-90,-80,-70,-60,-50,-40,-30,-20,-10
59,32.8000,0.0000,0.46961875858485536,6.6000,106.6000,0.30764000,2.34344000,0.5251141552511417,0.0000,-10.568253799927543,100.00000000,70.00000000,88.94317462000724,77.8863492400145,66.82952386002174,55.772698480028986,44.71587310003623,33.659047720043475,22.60222234005072,11.545396960057966,0.4885715800652104,61.94317462000725,53.88634924001449,45.82952386002174,37.772698480028986,29.715873100036227,21.659047720043475,13.60222234005072,5.545396960057966,-2.5114284199347896
60,32.6000,0.0000,0.37314888618534203,0.3000,100.3000,0.32510000,0.41463000,0.38842975206611563,0.0000,-3.93401015228426,100.00000000,0.00000000,89.60659898477158,79.21319796954315,68.81979695431473,58.4263959390863,48.03299492385787,37.63959390862944,27.24619289340102,16.852791878172592,6.459390862944166,-0.393401015228426,-0.786802030456852,-1.180203045685278,-1.573604060913704,-1.96700507614213,-2.360406091370556,-2.7538071065989818,-3.147208121827408,-3.540609137055834
61,28.5000,0.0000,1.7289365853658538,0.1000,100.1000,0.28469000,0.31539000,1.731707317073171,0.0000,-0.16000000000000014,100.00000000,0.00000000,89.984,79.968,69.952,59.936,49.92,39.903999999999996,29.888,19.872,9.856,-0.016000000000000014,-0.03200000000000003,-0.04800000000000004,-0.06400000000000006,-0.08000000000000007,-0.09600000000000009,-0.11200000000000009,-0.1280000000000001,-0.14400000000000013
62,29.6000,0.0000,0.8034087609939375,1.1000,101.1000,0.29277000,0.61583000,0.8117154811715481,0.0000,-1.0233536713654547,100.00000000,20.00000000,89.89766463286345,79.7953292657269,69.69299389859036,59.59065853145382,49.48832316431727,39.385987797180725,29.28365243004418,19.181317062907635,9.078981695771091,17.897664632863453,15.79532926572691,13.692993898590364,11.590658531453817,9.488323164317272,7.385987797180727,5.283652430044182,3.1813170629076364,1.0789816957710907
63,28.7000,0.0000,0.5,0.0000,100.0000,0.28700000,0.28700000,0.5,1.0000,0,96.51477000,-100.00000000,86.863293,77.211816,67.560339,57.908862,48.257385,38.605908,28.954431,19.302954,9.651477,-90,-80,-70,-60,-50,-40,-30,-20,-10
64,57.9000,0.0000,0.49640287769784164,0.0000,100.0000,0.57900000,0.57900000,0.49640287769784164,1.0000,0,98.27244000,-100.00000000,88.445196,78.617952,68.790708,58.963464,49.13622,39.308976,29.481732,19.654488,9.827244,-90,-80,-70,-60,-50,-40,-30,-20,-10
65,52.3000,0.0000,0.250936329588015,0.0000,100.0000,0.52300000,0.52300000,0.250936329588015,1.0000,0,98.08779000,-100.00000000,88.279011,78.470232,68.661453,58.852674,49.043895,39.235116,29.426337,19.617558,9.808779,-90,-80,-70,-60,-50,-40,-30,-20,-10
66,53.6000,0.0000,0.10731707317073172,0.0000,100.0000,0.53600000,0.53600000,0.10731707317073172,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
67,57.8000,0.0000,0.8120300751879699,0.0000,100.0000,0.57800000,0.57800000,0.8120300751879699,1.0000,0,98.26941000,-100.00000000,88.442469,78.615528,68.788587,58.961646,49.134705,39.307764,29.480823,19.653882,9.826941,-90,-80,-70,-60,-50,-40,-30,-20,-10
68,50.2000,0.0000,0.2688172043010752,0.0000,100.0000,0.50200000,0.50200000,0.2688172043010752,1.0000,0,98.00433000,-100.00000000,88.203897,78.403464,68.603031,58.802598,49.002165,39.201732,29.401299,19.600866,9.800433,-90,-80,-70,-60,-50,-40,-30,-20,-10
69,61.8000,0.0000,0.34793814432989695,0.0000,100.0000,0.61800000,0.61800000,0.34793814432989695,1.0000,0,98.38166000,-100.00000000,88.543494,78.705328,68.867162,59.028996,49.19083,39.352664,29.514498,19.676332,9.838166,-90,-80,-70,-60,-50,-40,-30,-20,-10
70,52.8000,0.0000,1.3043478260869568,0.0000,100.0000,0.52800000,0.52800000,1.3043478260869568,1.0000,0,98.10516000,-100.00000000,88.294644,78.484128,68.673612,58.863096,49.05258,39.242064,29.431548,19.621032,9.810516,-90,-80,-70,-60,-50,-40,-30,-20,-10
71,56.3000,0.1000,0.695970695970696,0.0000,100.0000,0.56300000,0.56300000,0.695970695970696,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
72,50.3000,0.0000,0.44009779951100236,0.0000,100.0000,0.50300000,0.50300000,0.44009779951100236,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
73,65.7000,0.1000,0.3059701492537314,0.0000,100.0000,0.65700000,0.65700000,0.3059701492537314,1.0000,0,98.47735000,-100.00000000,88.629615,78.78188,68.934145,59.08641,49.238675,39.39094,29.543205,19.69547,9.847735,-90,-80,-70,-60,-50,-40,-30,-20,-10
74,66.5000,0.0000,0.2564102564102564,0.0000,100.0000,0.66500000,0.66500000,0.2564102564102564,1.0000,0,98.48410000,-100.00000000,88.63569,78.78728,68.93887,59.09046,49.24205,39.39364,29.54523,19.69682,9.84841,-90,-80,-70,-60,-50,-40,-30,-20,-10
75,63.5000,0.0000,0.1666643507260474,0.5000,100.5000,0.63192000,0.94044000,0.16966580976863757,1.0000,-1.7690417690417692,98.42366000,-73.33333000,88.40438982309583,78.38511964619165,68.36584946928747,58.34657929238329,48.32730911547912,38.30803893857494,28.28876876167076,18.269498584766584,8.250228407862409,-66.17690117690417,-59.02047235380835,-51.86404353071253,-44.707614707616706,-37.55118588452088,-30.39475706142506,-23.238328238329238,-16.081899415233416,-8.925470592137593
76,75.3000,0.0000,1.0188552188552191,1.5000,101.5000,0.74185000,1.85668000,1.0303030303030305,1.0000,-1.1111111111111147,98.66980000,-64.58333000,88.69170888888888,78.71361777777777,68.73552666666667,58.75743555555556,48.77934444444444,38.80125333333333,28.823162222222223,18.845071111111107,8.866979999999996,-58.236108111111115,-51.88888622222222,-45.54166433333334,-39.19444244444444,-32.84722055555556,-26.499998666666666,-20.152776777777778,-13.80555488888889,-7.458333000000003
77,72.4000,0.2000,0.3265705651092509,1.4000,101.4000,0.71427000,1.68689000,0.3308550185873606,1.0000,-1.2949640287769788,98.61710000,-64.76190000,88.62589359712231,78.6346871942446,68.64348079136691,58.65227438848921,48.66106798561151,38.669861582733816,28.678655179856115,18.687448776978417,8.69624237410072,-58.4152064028777,-52.0685128057554,-45.72181920863309,-39.37512561151079,-33.028432014388486,-26.681738417266185,-20.335044820143885,-13.988351223021583,-7.641657625899281
78,72.9000,0.0000,0.2802830692540502,0.2000,100.2000,0.72716000,0.91131000,0.28048780487804875,1.0000,-0.07299270072993083,98.59488000,-75.00000000,88.72809272992701,78.86130545985402,68.99451818978103,59.12773091970803,49.26094364963504,39.39415637956204,29.527369109489047,19.660581839416057,9.793794569343063,-67.50729927007299,-60.01459854014599,-52.52189781021898,-45.02919708029197,-37.53649635036496,-30.043795620437958,-22.551094890510953,-15.058394160583944,-7.565693430656938
79,76.0000,0.0000,1.2426470588235292,0.0000,100.0000,0.76000000,0.76000000,1.2426470588235292,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
80,71.8000,0.0000,0.7634408602150539,0.0000,100.0000,0.71800000,0.71800000,0.7634408602150539,1.0000,0,98.60635000,-100.00000000,88.745715,78.88508,69.024445,59.16381,49.303175,39.44254,29.581905,19.72127,9.860635,-90,-80,-70,-60,-50,-40,-30,-20,-10
81,73.7000,0.0000,0.331253740648379,1.1000,101.1000,0.72957000,1.47281000,0.33167082294264333,1.0000,-0.1257518796992475,98.64244000,-81.25000000,88.76562081203006,78.88880162406015,69.01198243609022,59.13516324812031,49.25834406015037,39.38152487218045,29.504705684210528,19.6278864962406,9.751067308270677,-73.13757518796993,-65.02515037593984,-56.912725563909774,-48.800300751879696,-40.687875939849626,-32.57545112781955,-24.463026315789474,-16.3506015037594,-8.238176691729322
91,71.5000,0.0000,2.442871295952146,16.7000,116.7000,0.61353000,10.75904000,2.6030927835051547,0.0000,-6.155043284214569,100.00000000,100.00000000,89.38449567157855,78.76899134315708,68.15348701473563,57.53798268631417,46.922478357892714,36.306974029471256,25.6914697010498,15.075965372628344,4.4604610442068875,89.38449567157855,78.76899134315708,68.15348701473563,57.53798268631417,46.922478357892714,36.306974029471256,25.6914697010498,15.075965372628344,4.4604610442068875
92,70.5000,0.0000,0.897478206724782,14.4000,114.4000,0.61799000,9.31786000,0.9536178107606681,0.0000,-5.8870129524012595,100.00000000,100.00000000,89.41129870475987,78.82259740951974,68.23389611427962,57.645194819039496,47.05649352379937,36.46779222855925,25.87909093331912,15.290389638078992,4.7016883428388665,89.41129870475987,78.82259740951974,68.23389611427962,57.645194819039496,47.05649352379937,36.46779222855925,25.87909093331912,15.290389638078992,4.7016883428388665
93,68.4000,0.0000,0.6997810181307413,14.6000,114.6000,0.59678000,9.31865000,0.7582822085889571,1.0000,-7.714962819327812,98.52702000,67.85739000,87.90282171806722,77.27862343613444,66.65442515420166,56.03022687226887,45.40602859033609,34.781830308403315,24.15763202647053,13.533433744537753,2.90923546260497,60.30015471806722,52.74291943613444,45.18568415420165,37.62844887226887,30.071213590336093,22.513978308403317,14.95674302647053,7.399507744537751,-0.1577275373950302
94,68.3000,0.0000,5.159880299053528,15.2000,115.2000,0.59321000,9.57174000,5.344444444444446,0.0000,-3.453383177792636,100.00000000,80.00000000,89.65466168222073,79.30932336444147,68.9639850466622,58.61864672888294,48.273308411103685,37.92797009332442,27.582631775545156,17.23729345776589,6.891955139986628,71.65466168222073,63.309323364441475,54.96398504666221,46.61864672888294,38.273308411103685,29.92797009332442,21.582631775545156,13.23729345776589,4.891955139986628
95,66.1000,0.0000,2.0584630635095857,8.7000,108.7000,0.60828000,5.87951000,2.0804289544235925,1.0000,-1.055834705016038,98.48554000,63.89285000,88.5314025294984,78.57726505899679,68.62312758849518,58.66899011799359,48.71485264749198,38.76071517699038,28.806577706488774,18.85244023598717,8.898302765485566,57.397981529498395,50.903113058996794,44.40824458849519,37.913376117993586,31.41850764749198,24.923639176990378,18.428770706488773,11.93390223598717,5.439033765485566
