#dataset_conf_id,iter_no,pso_time,pso_to_task_time,objectives,time,objectives
6,2,5517,0,0.5,729,0.2385542169
6,3,4295,0,0.5,1020,0.2385542169
6,4,4933,0,0.3018292683,1207,0.2385542169
6,5,4769,0,0.3764258555,931,0.2385542169
6,6,5807,0,0.2385542169,785,0.2385542169
6,7,5609,0,0.2385542169,845,0.2385542169
6,8,5531,0,0.3975903614,741,0.2385542169
6,9,5909,0,0.2385542169,661,0.2385542169
7,0,9668,0,1.7777777778,3753,1.0078740157
7,1,5905,0,1.5421686747,885,1.0078740157
7,2,6017,0,1.0078740157,843,1.0078740157
7,3,5958,0,1.3195876289,942,1.0078740157
7,4,5917,0,1.6842105263,889,1.0078740157
7,5,6004,0,1.0078740157,905,1.0078740157
7,6,5850,0,1.5421686747,811,1.0078740157
7,7,5423,0,1.0578512397,843,1.0078740157
7,8,5128,0,1.55,805,1.0078740157
7,9,4876,0,1.0578512397,760,1.0078740157
8,0,4831,0,1.9705882353,1307,0.2607003891
8,1,5452,0,0.3507853403,780,0.2454212454
8,2,5387,0,0.4557823129,689,0.2454212454
8,3,4894,0,0.4557823129,699,0.2454212454
8,4,4523,0,0.4652777778,700,0.2454212454
8,5,5381,0,0.8170731707,760,0.2607003891
8,6,5352,0,0.2454212454,692,0.2454212454
8,7,5413,0,1,762,0.2454212454
8,8,5110,0,0.2454212454,765,0.2454212454
8,9,5150,0,0.2607003891,696,0.2454212454
9,0,4757,0,0.0636942675,812,0.0487804878
9,1,4845,0,0.0680272109,762,0.0487804878
9,2,5107,0,0.0636942675,767,0.0487804878
9,3,5136,0,0.0921658986,778,0.0487804878
9,4,4917,0,0.0530503979,772,0.0487804878
9,5,5344,0,0.0680272109,808,0.0487804878
9,6,4790,0,0.0487804878,790,0.0487804878
9,7,4227,0,0.0636942675,810,0.0487804878
9,8,3963,0,0.0680272109,776,0.0487804878
9,9,4916,0,0.0921658986,811,0.0487804878
10,0,13086,0,1.1333333333,1551,0.3695652174
10,1,12547,0,1.5454545455,1460,0.3695652174
10,2,12572,0,0.7285714286,1483,0.3695652174
10,3,12736,0,1.59375,1388,0.3695652174
10,4,11876,0,0.6296296296,1555,0.3695652174
10,5,11816,0,1.5454545455,1521,0.3695652174
10,6,9803,0,1.7,1426,0.3695652174
10,7,11220,0,1.59375,1547,0.3695652174
10,8,11744,0,1.7,1502,0.3695652174
10,9,11574,0,0.7285714286,1537,0.3695652174
11,0,13145,0,0.0301886792,1305,0.0301886792
11,1,12214,0,0.0301886792,1373,0.0301886792
11,2,12637,0,0.0301886792,1417,0.0301886792
11,3,12874,0,0.0301886792,1288,0.0301886792
11,4,12224,0,0.0301886792,1347,0.0301886792
11,5,12132,0,0.0301886792,1350,0.0301886792
11,6,11854,0,0.0301886792,1346,0.0301886792
11,7,11568,0,0.0301886792,1438,0.0301886792
11,8,12075,0,0.0301886792,1406,0.0301886792
