#dataset_conf_id,mypso_avg_span,ndpso_avg_span
2299,18.497584541062796,18.497584541062796
2300,7.053639846743293,7.053639846743293
2302,31.28787878787879,31.28787878787879
2303,305.99999999999994,305.99999999999994
2304,9.034578146611336,9.03457814661134
2308,14.888944354504764,32.014486373856016
2311,7.758964688298825,9.856760477582847
2312,1.6569532693773528,2.334028401994509
2313,2.562219685122149,3.220750384268237
2314,1.2013552789307667,2.1253663977322237
2315,0.7418897464211581,0.8887772695086339
2316,0.4480952727264286,0.5812271524008674
2317,4.119348403941311,7.655572106802664
2318,1.1247420827543615,1.8590994105506353
2321,2.3615778797892206,2.934304879696848
2323,224.74999999999994,224.75
2324,6.267241379310348,6.267241379310348
2325,11.189189189189191,11.189189189189191
2326,120.01999999999998,120.02000000000001
2327,148.29411764705875,148.2941176470588
2332,3.0646059101859358,3.43703937511357
2333,0.8088147318437621,1.3465056144770144
2334,0.8661953718308307,1.2815938119447803
2335,16.609133044840267,28.87754820936639
2336,3.6303163602771575,6.418104890230002
2337,1.243264722516685,1.6516927435412456
2340,6.55975941413128,8.178685160650401
2347,4.05102884996888,8.646404642405951
2350,2.183582441806343,2.252486816883626
2354,3.0766727179803235,3.1094551732812974
2377,7.336327159892335,13.906981300193081
2378,2.3347599568430235,3.4802219221193873
2381,4.909588757011989,7.851183162313859
2382,8.202659208157236,13.005058465246567
2383,23.49671457094453,51.22451744462968
2384,10.313782905654554,11.905456623973748
2404,7.6328499823473095,10.192364131723998
2405,5.785428959670517,11.90963457556936
2406,2.419680696730911,3.7356358826665073
2407,15.047086820670298,21.219249796331457
2408,9.37972508475853,16.05906605739939
2409,6.720605267157254,11.087149270482602
2410,49.509733254994124,74.48008175399481
2411,15.89123511214537,20.778738942120178
2412,8.50819157663651,14.10773992308253
2431,49.25,49.25
2432,18.777777777777775,18.777777777777775
2433,13.625,13.625
2434,66.75,66.75
2435,41.375,41.375
2436,11.1875,11.1875
2437,141,141
2438,12.666666666666668,12.666666666666668
2439,22.5,22.5
2440,15.25,15.25
2441,9.666666666666668,9.666666666666668
2442,1.875,1.875
2443,52.25,52.25
2444,16.333333333333336,16.333333333333336
2445,26.4375,26.966249999999995
2446,9.75,9.75
2447,40.66666666666667,40.66666666666667
2448,1.5,1.5
2449,20.5,20.5
